id;class;holiday;weekends;time
711;0;0;1;5
712;0;0;1;4
713;0;0;1;3
714;0;0;1;7
715;1;0;1;6
716;0;0;1;5
717;0;0;1;4
718;0;0;1;3
719;0;0;1;7
720;0;0;1;7
721;1;0;1;6
722;0;0;1;5
723;0;0;1;4
724;0;0;1;3
725;1;0;1;7
726;0;0;1;6
727;0;0;1;5
728;0;0;1;5
729;0;0;1;4
730;0;0;1;3
731;0;0;1;7
732;0;0;1;6
733;0;0;1;5
734;0;0;1;5
735;0;0;1;4
736;1;0;1;3
737;1;0;0;7
738;0;0;0;6
739;0;0;0;5
740;1;0;0;4
741;0;0;0;3
742;0;0;0;7
743;0;0;0;6
744;1;0;0;5
745;0;0;0;4
746;1;0;1;7
747;0;0;1;6
748;0;0;1;4
749;0;0;1;3
750;0;0;1;7
751;0;0;1;6
752;0;0;1;6
753;0;0;1;5
754;1;0;1;4
755;0;0;1;4
756;0;0;1;6
757;0;0;1;6
758;0;0;1;5
759;0;0;1;4
760;1;1;1;6
761;1;1;1;6
762;0;1;1;5
763;0;1;1;4
764;1;1;1;0
765;0;1;1;6
766;1;1;1;5
767;0;1;1;4
768;1;1;1;3
769;0;0;0;6
770;0;0;0;6
771;0;0;0;5
772;0;0;0;4
773;0;0;0;3
774;0;0;0;7
775;0;0;0;6
776;1;0;0;5
777;0;0;0;4
778;0;0;0;4
779;1;0;1;7
780;0;0;1;6
781;0;0;1;5
782;0;0;1;4
783;0;0;1;4
784;0;0;1;3
785;0;0;1;7
786;0;0;1;7
787;0;0;1;6
788;0;0;1;6
789;0;0;1;5
790;0;0;1;5
791;0;0;1;4
792;0;0;1;4
793;0;0;1;6
794;0;0;1;6
795;0;0;1;6
796;0;0;1;5
797;0;0;1;4
798;0;0;1;3
799;0;0;1;7
800;0;0;1;6
801;0;0;1;6
802;0;0;1;5
803;0;0;1;4
804;0;0;1;3
805;0;0;1;7
806;0;0;1;7
807;0;0;1;6
808;0;0;1;6
809;0;0;1;5
810;0;0;1;4
811;0;0;1;3
812;1;0;1;3
813;0;0;0;6
814;0;0;0;6
815;0;0;0;5
816;0;0;0;4
817;1;0;0;4
818;0;0;0;3
819;0;0;0;7
820;0;0;0;6
821;0;0;0;6
822;0;0;0;5
823;0;0;0;5
824;0;0;0;4
825;1;0;0;3
826;0;0;0;1
827;0;0;1;7
828;0;0;1;6
829;0;0;1;5
830;0;0;1;5
831;0;0;1;4
832;0;0;1;4
833;0;0;1;3
834;0;0;1;6
835;0;0;1;6
836;0;0;1;5
837;0;0;1;5
838;0;0;1;5
839;0;0;1;4
840;0;0;1;4
841;0;0;1;3
842;0;0;1;7
843;0;0;1;6
844;1;0;1;6
845;0;0;1;5
846;0;0;1;4
847;0;0;1;4
848;0;0;1;3
849;0;0;1;7
850;0;0;1;6
851;0;0;1;5
852;0;0;1;4
853;0;0;1;4
854;0;0;1;3
855;0;0;1;7
856;0;0;1;6
857;0;0;1;5
858;0;0;1;5
859;1;0;1;4
860;0;0;1;4
861;0;0;0;7
862;0;0;0;6
863;0;0;0;6
864;0;0;0;5
865;0;0;0;4
866;0;0;0;4
867;0;0;0;7
868;0;0;0;6
869;0;0;0;6
870;0;0;0;5
871;0;0;0;4
872;0;0;0;4
873;0;0;0;3
874;0;0;1;7
875;0;0;1;6
876;0;0;1;6
877;0;0;1;5
878;0;0;1;5
879;0;0;1;4
880;0;0;1;3
881;0;0;1;7
882;0;0;1;7
883;0;0;1;6
884;0;0;1;6
885;0;0;1;5
886;0;0;1;5
887;0;0;1;4
888;0;0;1;7
889;0;0;1;6
890;0;0;1;5
891;0;0;1;5
892;0;0;1;4
893;0;0;1;3
894;0;0;1;7
895;0;0;1;7
896;0;0;1;6
897;0;0;1;6
898;0;0;1;6
899;0;0;1;5
900;0;0;1;4
901;0;0;1;4
902;0;0;1;7
903;0;0;1;6
904;0;0;1;6
905;0;0;1;5
906;0;0;1;4
907;0;0;1;4
908;0;0;1;3
909;0;0;0;6
910;0;0;0;5
911;0;0;0;4
912;0;0;0;7
913;1;0;0;6
914;0;0;0;5
915;0;0;0;5
916;0;0;1;7
917;0;0;1;6
918;0;0;1;5
919;0;0;1;5
920;0;0;1;4
921;0;0;1;7
922;0;0;1;6
923;0;0;1;6
924;0;0;1;5
925;1;0;1;4
926;0;0;1;3
927;0;0;1;7
928;0;0;1;6
929;0;0;1;6
930;0;0;1;5
931;0;0;1;5
932;0;0;1;4
933;0;0;1;7
934;0;0;1;6
935;0;0;1;5
936;0;0;1;4
937;0;0;1;3
938;0;0;1;7
939;0;0;1;7
940;0;0;1;6
941;0;0;1;5
942;0;0;1;4
943;0;0;1;4
944;0;0;0;7
945;0;0;0;6
946;0;0;0;5
947;0;0;0;4
948;0;0;0;6
949;0;0;0;6
950;0;0;0;5
951;0;0;0;4
952;0;0;0;3
953;0;0;1;7
954;0;0;1;6
955;0;0;1;5
956;0;0;1;5
957;0;0;1;3
958;0;0;1;7
959;0;0;1;6
960;0;0;1;5
961;1;0;1;4
962;0;0;1;3
963;0;0;1;3
964;0;0;1;7
965;0;0;1;6
966;0;0;1;5
967;0;0;1;5
968;0;0;1;4
969;0;0;1;3
970;0;0;1;7
971;1;0;1;6
972;0;0;1;6
973;0;0;1;5
974;0;0;1;4
975;0;0;1;3
976;0;0;1;7
977;0;0;1;7
978;0;0;1;6
979;0;0;1;6
980;0;0;1;5
981;0;0;1;5
982;0;0;1;5
983;0;0;1;4
984;0;0;1;3
985;0;0;0;6
986;0;0;0;6
987;1;0;0;5
988;0;0;0;4
989;0;0;0;4
990;0;0;0;7
991;1;0;0;6
992;0;0;0;6
993;0;0;0;5
994;0;0;0;5
995;0;0;0;4
996;0;0;0;3
997;0;0;1;7
998;0;0;1;6
999;0;0;1;6
1000;0;0;1;5
1001;0;0;1;5
1002;0;0;1;4
1003;1;0;1;3
1004;0;0;1;7
1005;0;0;1;6
1006;0;0;1;6
1007;0;0;1;5
1008;0;0;1;5
1009;0;0;1;4
1010;0;0;1;3
1011;0;0;1;7
1012;0;0;1;6
1013;0;0;1;6
1014;0;0;1;6
1015;0;0;1;5
1016;0;0;1;5
1017;0;0;1;4
1018;0;0;1;4
1019;0;0;1;3
1020;0;0;1;7
1021;0;0;1;6
1022;0;0;1;5
1023;0;0;1;4
1024;0;0;1;4
1025;0;0;1;4
1026;0;0;1;3
1027;0;0;1;7
1028;0;0;1;7
1029;0;0;1;6
1030;0;0;1;5
1031;0;0;1;5
1032;0;0;1;4
1033;0;0;1;3
1034;0;0;0;7
1035;1;0;0;6
1036;0;0;0;5
1037;0;0;0;4
1038;0;0;0;3
1039;0;0;0;7
1040;0;0;0;6
1041;0;0;0;5
1042;0;0;0;4
1043;0;0;0;3
1044;0;0;1;7
1045;0;0;1;6
1046;0;0;1;6
1047;0;0;1;5
1048;0;0;1;4
1049;0;0;1;4
1050;0;0;1;3
1051;0;0;1;7
1052;0;0;1;7
1053;0;0;1;6
1054;0;0;1;6
1055;0;0;1;5
1056;0;0;1;5
1057;0;0;1;4
1058;0;0;1;3
1059;0;0;1;7
1060;0;0;1;6
1061;0;0;1;6
1062;0;0;1;5
1063;0;0;1;5
1064;0;0;1;4
1065;0;0;1;3
1066;0;0;1;7
1067;0;0;1;6
1068;0;0;1;6
1069;0;0;1;5
1070;0;0;1;4
1071;0;0;1;4
1072;0;0;1;3
1073;0;0;1;7
1074;0;0;1;6
1075;0;0;1;6
1076;0;0;1;5
1077;0;0;1;5
1078;0;0;1;3
1079;0;0;0;7
1080;0;0;0;6
1081;0;0;0;5
1082;0;0;0;4
1083;0;0;0;3
1084;0;0;0;7
1085;0;0;0;6
1086;0;0;0;5
1087;0;0;0;4
1088;0;0;0;3
1089;0;0;1;7
1090;0;0;1;6
1091;0;0;1;5
1092;0;0;1;5
1093;0;0;1;4
1094;0;0;1;3
1095;0;0;1;7
1096;0;0;1;6
1097;0;0;1;5
1098;0;0;1;5
1099;0;0;1;4
1100;0;0;1;3
1101;0;0;1;3
1102;0;0;1;3
1103;0;0;1;7
1104;0;0;1;6
1105;0;0;1;6
1106;0;0;1;5
1107;0;0;1;4
1108;0;0;1;3
1109;0;0;1;3
1110;0;0;1;7
1111;0;0;1;6
1112;0;0;1;6
1113;0;0;1;5
1114;0;0;1;4
1115;0;0;1;4
1116;0;0;1;3
1117;0;0;1;7
1118;0;0;1;6
1119;0;0;1;5
1120;0;0;1;5
1121;0;0;1;4
1122;0;0;0;7
1123;0;0;0;6
1124;0;0;0;5
1125;0;0;0;4
1126;0;0;0;3
1127;0;0;0;7
1128;0;0;0;6
1129;0;0;0;5
1130;0;0;0;4
1131;0;0;0;3
1132;0;0;1;7
1133;0;0;1;6
1134;0;0;1;5
1135;0;0;1;5
1136;0;0;1;4
1137;0;0;1;4
1138;0;0;1;7
1139;0;0;1;6
1140;0;0;1;6
1141;0;0;1;5
1142;0;0;1;5
1143;0;0;1;4
1144;0;0;1;3
1145;0;0;1;7
1146;0;0;1;6
1147;0;0;1;6
1148;0;0;1;5
1149;0;0;1;5
1150;0;0;1;4
1151;0;0;1;3
1152;0;0;1;7
1153;0;0;1;6
1154;0;0;1;6
1155;0;0;1;6
1156;0;0;1;5
1157;0;0;1;4
1158;0;0;1;3
1159;0;0;1;7
1160;0;0;1;6
1161;0;0;1;6
1162;0;0;1;5
1163;0;0;1;4
1164;0;0;0;7
1165;0;0;0;6
1166;0;0;0;5
1167;0;0;0;4
1168;0;0;0;4
1169;0;0;0;7
1170;0;0;0;6
1171;0;0;0;5
1172;0;0;0;4
1173;0;0;0;3
1174;0;0;1;7
1175;0;0;1;6
1176;0;0;1;6
1177;0;0;1;5
1178;0;0;1;5
1179;0;0;1;4
1180;0;0;1;3
1181;0;0;1;7
1182;0;0;1;6
1183;0;0;1;6
1184;0;0;1;5
1185;0;0;1;5
1186;0;0;1;4
1187;0;0;1;3
1188;0;0;1;7
1189;0;0;1;6
1190;0;0;1;6
1191;0;0;1;5
1192;0;0;1;5
1193;0;0;1;4
1194;0;0;1;3
1195;0;0;1;7
1196;0;0;1;7
1197;0;0;1;6
1198;0;0;1;5
1199;0;0;1;5
1200;0;0;1;4
1201;0;0;1;3
1202;0;0;1;7
1203;0;0;1;6
1204;0;0;1;5
1205;0;0;1;5
1206;0;0;1;4
1207;0;0;1;3
1208;0;0;0;7
1209;0;0;0;6
1210;0;0;0;5
1211;0;0;0;4
1212;0;0;0;3
1213;0;0;0;7
1214;0;0;0;6
1215;0;0;0;6
1216;0;0;0;5
1217;0;0;0;4
1218;0;0;0;3
1219;0;0;0;3
1220;0;0;1;7
1221;0;0;1;6
1222;0;0;1;6
1223;0;0;1;5
1224;0;0;1;4
1225;0;0;1;3
1226;0;0;1;7
1227;0;0;1;6
1228;0;0;1;5
1229;0;0;1;5
1230;1;0;1;4
1231;0;0;1;4
1232;0;0;1;3
1233;0;0;1;7
1234;0;0;1;6
1235;0;0;1;5
1236;0;0;1;4
